"","Well_Label","Phenotype","Firing_rate_Hz","EB_Dur","EB_Dur_Std","Spikes_per_EB","Spikes_per_EB_Std","EB_ISI","EB_ISI_Std","IEBI","IEBI_Std","IEBI_CV","IEBI_CV_Std","EB_rate_Hz","EB_rate_Std","EB_prop","EB_prop_Std","hfNB_rate","NB_prop","NB_dur","NB_dur_Std","Firing_Rate_in_NB_Hz","Firing_Rate_in_NB_Std","INBI","INBI_Std","batch","cell_line_batch","machine","PT_all_path","DIV_range","Syndrome","Gene","Identidy","Own_control","Remove","isogenic","Remarks","Pool_Kleefstra","Pool_WTC_CHD2","Pool_CACNA1A","Pool_SMARCB1","Pool_ARID1B_2_rescue","hfNB_and_NB_prop","hf_and_NB_rate","Unique_ID","PT_all_path_Well_Label"
"1","A1","WTC",10.8209375,1.4635,0.434097070557573,236.7085,91.0839931242953,0.00697098913379851,0.00265863179368247,21.1521875,2.86313800386336,0.48225,0.187084472899276,0.045,0.0057089922571845,96.279375,5.31057941440166,0,0.842414324220254,1.22254545454545,0.0375242951602413,203.356269241826,1.27072803492953,26.5626,0.93452164828382,"94-6414","WTC94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","Control","Control","Control","",NA,"yes",NA,"Clone 8/WTC_mLam/29.3/WTC","WTC/409B2","WTC/CACNA1A_PAT2_rescue","WTC/IPS23-123","WTC/ARID1B_2_rescue",0.842414324220254,0.0366666666666667,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A1_1","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A1"
"2","A2","WTC",5.855375,0.9253125,0.343443681700508,118.0455,69.3917791605509,0.0099707292746981,0.00402345080952989,21.166,3.5170760583189,0.5406875,0.220270657374059,0.0472916666666667,0.00809377904685193,93.0070625,7.38245378781111,0,0.81949595095739,1.0736,0.0381668850066426,126.067065877973,1.60213370791612,27.3928888888889,1.28956004556248,"94-6414","WTC94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","Control","Control","Control","",NA,"yes",NA,"Clone 8/WTC_mLam/29.3/WTC","WTC/409B2","WTC/CACNA1A_PAT2_rescue","WTC/IPS23-123","WTC/ARID1B_2_rescue",0.81949595095739,0.0333333333333333,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A2_2","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A2"
"3","A3","WTC",7.594,1.15225,0.375837642251722,158.8246875,78.8659317616242,0.00866290518214201,0.0033237483960964,20.475125,2.55032073473122,0.537,0.164369502442921,0.0460416666666667,0.00490181372328425,94.420375,5.22811949461754,0,0.841189705317456,1.16290909090909,0.0290979536925043,149.793528200079,1.67780641674998,26.1644,2.94018288168913,"94-6414","WTC94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","Control","Control","Control","",NA,"yes",NA,"Clone 8/WTC_mLam/29.3/WTC","WTC/409B2","WTC/CACNA1A_PAT2_rescue","WTC/IPS23-123","WTC/ARID1B_2_rescue",0.841189705317456,0.0366666666666667,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A3_3","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A3"
"4","A4","ADNP_CR",10.435875,0.843125,0.569322155432815,75.39925,68.6291157974029,0.0148554650483121,0.00534782681413837,7.7238125,4.12477188409654,0.581625,0.191441853661453,0.129791666666667,0.0368675055158735,84.7885625,18.4054450782687,0,0.767439031806848,0.958580645161292,0.106823460030573,80.0219760149443,4.03616394754068,8.71766666666666,0.640019845238298,"94-6414","ADNP_CR94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","HvdA","ADNP","CRISPR","WTC",NA,"yes",NA,NA,NA,NA,NA,NA,0.767439031806848,0.103333333333333,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A4_4","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A4"
"5","A5","ADNP_CR",10.6701875,0.8489375,0.500960340246611,74.6853125,55.5762857181835,0.0137434743991045,0.00560150692999036,7.400625,3.28552741326767,0.569125,0.111975518157616,0.126041666666667,0.0248914309217717,86.63675,15.6948589820574,0,0.748674505507405,0.962933333333329,0.0387271029867594,82.8232092778029,1.65945334454954,8.74434482758621,0.457363584335113,"94-6414","ADNP_CR94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","HvdA","ADNP","CRISPR","WTC",NA,"yes",NA,NA,NA,NA,NA,NA,0.748674505507405,0.1,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A5_5","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A5"
"6","A6","ADNP_CR",12.654375,0.7456875,0.512018062018649,81.73,72.1997324953493,0.01228510119925,0.00484224254188095,19.105625,51.2296715922521,0.480733333333333,0.178942714962346,0.133541666666667,0.0398231042189032,83.690125,22.8430485498324,0,0.75495151385436,0.910057142857141,0.036330138887659,89.9722139025439,1.60101496821675,7.57511764705883,0.587619169845617,"94-6414","ADNP_CR94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","HvdA","ADNP","CRISPR","WTC",NA,"yes",NA,NA,NA,NA,NA,NA,0.75495151385436,0.116666666666667,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A6_6","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_A6"
"7","B4","YY1_CR",1.11733333333333,0.241466666666667,0.1447307187586,11.7596,8.35245550550427,0.024041068260677,0.00415480197858085,23.7045384615385,17.4860284876021,0.496923076923077,0.243455150400254,0.0453333333333333,0.0290538634974246,49.185,26.3224561815301,0,0.677342351302964,0.619124999999997,0.0357843075476781,22.939320040743,1.44663471965685,17.506,0.452990696845503,"94-6414","YY1_CR94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","GdV","YY1","CRISPR","WTC",NA,"yes",NA,NA,NA,NA,NA,NA,0.677342351302964,0.0533333333333333,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_B4_7","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_B4"
"8","B5","YY1_CR",1.11233333333333,0.212266666666667,0.146036427288667,9.9176,8.42041390906646,0.0267594004853001,0.0076168479150163,25.2552727272727,19.1966582669532,0.585545454545455,0.252226233225794,0.036,0.0273774324859693,33.6462666666667,27.1265887894586,0,0.655172413793103,0.818500000000001,0.100153215957687,16.7313728950172,1.21126244857288,18.0013333333333,2.37395843827702,"94-6414","YY1_CR94-6414","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414","DIV28","GdV","YY1","CRISPR","WTC",NA,"yes",NA,NA,NA,NA,NA,NA,0.655172413793103,0.0533333333333333,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_B5_8","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/94-6414_B5"
"9","A1","WTC",6.3436875,1.06275,0.496616485160665,153.5501875,110.163887527156,0.0096607933106386,0.00451799771055851,24.6581875,8.91251131252204,0.5035,0.283859824561349,0.04125,0.0106022359626358,90.30525,15.5387115231605,0,0.840914315741075,1.1758,0.0285104269425241,136.106011085021,1.09219220431087,28.7175555555556,3.50585364466029,"95-3401","WTC95-3401","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/95-3401","DIV28","Control","Control","Control","",NA,"yes",NA,"Clone 8/WTC_mLam/29.3/WTC","WTC/409B2","WTC/CACNA1A_PAT2_rescue","WTC/IPS23-123","WTC/ARID1B_2_rescue",0.840914315741075,0.0333333333333333,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/95-3401_A1_10","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/95-3401_A1"
"10","A2","WTC",5.96675,0.996125,0.349544823067562,110.071375,57.7156333528158,0.0113968089683527,0.00571630680040927,24.688,29.0000296827434,0.697933333333333,0.137913257762503,0.0497916666666667,0.0131919588302033,89.37025,19.523478059335,0,0.816851735456387,1.12727272727272,0.0290278862788662,117.919758685209,1.58854280242541,25.7956,1.2059680482224,"95-3401","WTC95-3401","axion","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/95-3401","DIV28","Control","Control","Control","",NA,"yes",NA,"Clone 8/WTC_mLam/29.3/WTC","WTC/409B2","WTC/CACNA1A_PAT2_rescue","WTC/IPS23-123","WTC/ARID1B_2_rescue",0.816851735456387,0.0366666666666667,"D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/95-3401_A2_11","D:/2024/Patient_Paper/PT_all/Developmental/DIV28/WTC_ADNP_YY1_CHD8_EHMT1/95-3401_A2"
