Gene,SNAP-a
NRXN1,0.002711323
SLC1A2,0.002508594
RNF219-AS1,0.002186701
NTM,0.002103701
ZNF98,0.002094694
GPC5,0.002004567
GRM3,0.001960769
HPSE2,0.001935994
NKAIN3,0.001884154
SLC4A4,0.001878445
CTNND2,0.001848253
NCKAP5,0.001820041
SGCD,0.001767308
LSAMP,0.001683243
GPM6A,0.001677969
LRRC4C,0.001675188
LRRTM4,0.001641142
EPHB1,0.001628323
PREX2,0.00155705
RORA,0.001535896
TMEM108,0.001517028
ARHGAP24,0.00146865
SYNE1,0.001384868
TENM2,0.001373359
AC091826.2,0.001367946
AC002429.2,0.001362396
FAM155A,0.001341106
SFXN5,0.001334982
PAMR1,0.001332788
SLC1A3,0.001328059
ADGRB3,0.001322091
RMST,0.001321238
MACROD2,0.001303169
GABRA2,0.001295938
ATP13A4,0.001285901
WIF1,0.00128275
BRINP2,0.001278291
NHSL1,0.001276119
AC108866.1,0.001263838
CEP85L,0.001227394
CARMIL1,0.001222439
C1orf61,0.001205806
SLCO1C1,0.001203195
AC007389.1,0.00119691
CTNNA2,0.001191737
MSI2,0.001186996
RGS7,0.001184357
PHLPP1,0.001178926
FRMD4A,0.001172436
GRIA2,0.001167679
GLI3,0.001167083
ADAMTS17,0.001165144
AC012593.1,0.001163682
RERG,0.001151508
CACNB2,0.001149942
GNAQ,0.001149808
KCNMA1,0.001136692
FBXL7,0.001135297
ATP8A1,0.001134971
SLC35F1,0.001131681
COL5A3,0.001120027
PDE4D,0.001117779
MMD2,0.001115194
CALN1,0.001115127
PIK3C2A,0.001115046
SHROOM3,0.001114905
RORB,0.001113416
MAGI2,0.001108653
PTPRG,0.00110628
CRB1,0.001105913
AL589740.1,0.0010952
ESRRG,0.001089446
MEGF10,0.001082805
OSBPL6,0.001079702
SLC6A1,0.001074976
LRRC3B,0.001065843
VAV3,0.001063403
F11-AS1,0.001044983
CHKA,0.001044291
ABCD2,0.001016665
ANKDD1A,0.000989758
RHOJ,0.000985485
LINC01748,0.000984777
GABRB1,0.000983744
CAMK4,0.000982732
KCNIP1,0.000972157
MCC,0.000964109
POU2F1,0.000962125
LINC00461,0.0009485
EPM2A,0.000945915
GRID1,0.000940674
FUT9,0.000940004
LINC00299,0.000937838
DPH6,0.00093528
AC079760.1,0.000921694
POU6F2,0.000914657
NLGN4Y,0.000913203
AC073050.1,0.000907475
ALDH1A1,0.000904111
EYA1,0.0009027
SLC24A3,0.000900285
AC010099.4,0.00089971
GDAP1,0.000899321
PLCB1,0.000893517
LINC00499,0.000890554
OLFM2,0.000888122
ENOX1,0.000887692
BRINP3,0.00088745
ITPR2,0.000886708
FGFR3,0.000886219
UNC79,0.000884649
KLHL32,0.000884276
FHIT,0.000873705
KLF12,0.000870132
PBX1,0.000868623
RIMS1,0.000868574
UNC5D,0.000866766
FAM184A,0.000860938
MPPED2,0.00086088
MAST4,0.000857896
NEGR1,0.00085257
DMD,0.000852287
TOX,0.000850986
ZFHX4,0.000842632
PSD3,0.000842123
GNAO1,0.000841554
WWOX,0.000839595
AF123462.1,0.000836281
ASTN1,0.000822755
ATL2,0.000821678
AC008957.3,0.000821109
ADGRV1,0.000817584
PLEKHA6,0.000815845
PRKN,0.000815778
DDAH1,0.000812802
HS3ST5,0.000812111
MIR2052HG,0.000810832
SPRED1,0.000805256
UTY,0.000803445
ASAP2,0.000799098
AC092691.1,0.000797587
SPON1,0.000797155
APC,0.000785339
DOCK1,0.000784405
MGAT4C,0.000777761
FAM171A1,0.000777002
XYLT1,0.000775983
PCDH7,0.000773813
TRPM3,0.000773605
ACSS1,0.000773459
PTN,0.000772615
KCTD8,0.000772332
LMO3,0.000771465
LINC01727,0.000771256
TNRC6A,0.000770106
FBXL17,0.000768401
NAALADL2,0.000767776
LRFN2,0.000764211
GRAMD1B,0.000763782
ADGRL3,0.000762989
PID1,0.000762399
TMEM132B,0.000762074
ALCAM,0.000754081
SH3RF1,0.000753862
ANKS1B,0.000742666
C2orf72,0.000735178
SGIP1,0.000735168
CAMK2G,0.000732151
AC021231.1,0.000731249
AC022639.1,0.000726851
FAM171B,0.000725381
ACOT11,0.000718519
LINC01182,0.000713595
ELOVL2,0.000710965
GARNL3,0.000708021
AC069208.1,0.000698187
ROR1,0.000694526
MYO10,0.000694153
FGFR2,0.000693625
TNS3,0.000690091
SOX6,0.000689029
NAV3,0.000687809
PDZRN3,0.000687517
NRCAM,0.000687216
ACSL6,0.000686985
ROBO1,0.000682917
FMNL2,0.000682675
RNF182,0.000681811
CELF2,0.000680003
NR3C2,0.000677071
SRGAP3,0.000676542
CDH10,0.000673591
CADM2,0.000671914
PSD2,0.000671653
AC091078.1,0.000669943
TRIM9,0.000668942
AC099792.1,0.000667363
RALGAPA2,0.000664353
MTMR10,0.000663907
PELI2,0.000657753
CABLES1,0.00065713
PDE7B,0.000653208
FGGY,0.000651494
NLGN4X,0.000651259
PIP5K1B,0.000648259
CHD9,0.000648255
SSX2IP,0.0006472
CDH11,0.000646176
KCNMB2-AS1,0.000638387
ERBB4,0.000636771
AF279873.3,0.000635095
ANK2,0.000634156
MKRN3,0.000632607
PTK2,0.000630541
SOBP,0.000629131
MEF2C-AS1,0.00062826
SLC6A11,0.000626437
AC008056.1,0.000626231
MFGE8,0.000626174
PDE3B,0.000625173
STK33,0.000623519
GAREM1,0.00062275
FREM2,0.000622044
WASF3,0.000621401
AC010317.1,0.000621111
TCF4,0.000619672
SLC15A2,0.000619281
DOK5,0.000618859
PIK3R1,0.000618153
ETV5,0.000616544
KLKB1,0.000614278
RFX3-AS1,0.00061255
ST6GALNAC5,0.000610768
EPHA6,0.000610445
PDGFC,0.000609156
BMP2K,0.000608732
SFMBT2,0.000603072
EPB41L2,0.000602875
ZBTB20,0.000601721
LIMCH1,0.000601339
FAM19A1,0.000600991
PHACTR1,0.000597153
STXBP6,0.000595952
SUGCT,0.000595292
NREP,0.000593242
TOM1L2,0.000592074
SUMF1,0.000591876
MIAT,0.000591657
KIF1B,0.000591316
CHRDL1,0.00059069
SLC13A5,0.000587253
GPAM,0.0005866
LINC01184,0.000585913
NCAM1,0.000583865
EGFR,0.000582811
NTRK2,0.000580072
PLXNA2,0.000577331
EPHA4,0.000575224
ABLIM1,0.000574803
AL357153.2,0.000574533
ZNF521,0.000574002
BBS2,0.000571708
AL359710.1,0.000570139
SETBP1,0.000569293
ENTPD1,0.000569057
AC110023.1,0.000568654
MIR99AHG,0.000568401
ACSBG1,0.000568268
AUTS2,0.000567932
DPF3,0.000567883
RGS20,0.000567832
DIO2,0.00056618
SHC3,0.000565791
EHMT1,0.000564427
AL365273.2,0.000563795
MYO6,0.000562423
LINC02060,0.000560852
NFIB,0.000560039
CACNA1A,0.000559915
EFNA5,0.000559653
SCD5,0.000558025
ADRA1A,0.00055779
APBB2,0.000555015
TPCN1,0.000554306
PDE3A,0.000553175
WDR17,0.000552884
ASTN2,0.000552319
GALNT7,0.000551525
CACNA1B,0.000549422
NT5E,0.000546805
UFL1-AS1,0.000545312
SNRK,0.000543233
ARHGEF26-AS1,0.000541605
HLF,0.000541133
NRF1,0.000540908
AC245519.1,0.000539443
NCAN,0.00053714
DCHS2,0.00053707
ZNRF3,0.000534846
BMP7,0.000534475
ACACA,0.000529187
GRK3,0.000528222
ACP6,0.000528119
ALK,0.000528114
EDNRB,0.000527934
SORCS2,0.000526824
ILDR2,0.000525189
KCNJ16,0.000524675
HIVEP3,0.000524474
LINC01481,0.000523867
STOX2,0.000523647
ARNT2,0.000521814
RYR3,0.00052151
SLC4A8,0.000518774
PTPN4,0.000518585
AC009120.6,0.000518363
MIR181A1HG,0.000518158
GMDS-AS1,0.000517285
SNCAIP,0.000516923
SMYD3,0.000516085
SLC25A48,0.000515762
PLPP3,0.000512766
LGR4,0.000510217
AL669831.3,0.000509783
EMID1,0.000507302
PEX5L,0.000504997
USP24,0.000504052
GTDC1,0.00050381
AL158840.1,0.000503543
AC115622.1,0.000503384
AC036214.1,0.000503079
TAOK3,0.000503019
AL590867.1,0.000502262
AKAP7,0.000497921
PTPRD,0.000497649
DMXL2,0.000493364
TNIK,0.000492272
DOCK5,0.000492092
CYP4V2,0.000491764
CXXC4,0.000491747
AZIN1-AS1,0.000490645
SUCLG2,0.000490592
SPOP,0.000490454
ZEB2,0.000489771
GRIK4,0.000489411
PCSK5,0.000489365
EIF1B-AS1,0.000486904
