Gene,SNAP-n
PDE10A,0.003010307
AC010317.1,0.002911993
ETV1,0.002357011
ETV5,0.002184448
SPRED1,0.00216977
SV2B,0.002123759
NCALD,0.002048783
SPRED2,0.002031099
FBXW7,0.001972891
PHACTR1,0.001929764
RXFP1,0.001892805
PHLDB2,0.00188662
GAP43,0.001823942
IPCEF1,0.001793698
SCAI,0.001767714
ST6GAL2,0.001763968
NRXN3,0.001758824
TRIM9,0.001725376
GPC6,0.001715895
XKR4,0.001683244
UST,0.001678045
AC007389.1,0.001674796
HOMER1,0.001641223
CPNE4,0.001603549
DCLK1,0.001584774
NRN1,0.001572969
GABRG3,0.001532567
SORL1,0.001515074
IL1RAPL2,0.001513504
R3HDM2,0.001498613
TASP1,0.001496236
KIAA1456,0.001493436
PCSK1,0.001488688
EPHA3,0.001485608
RIMS1,0.001451919
SPHKAP,0.001450736
NEUROD6,0.001445473
EXT1,0.001399736
LRRC8B,0.001398813
PCDH9,0.001393318
SHC3,0.001382042
DUSP6,0.001380047
EML6,0.001377853
PEX5L,0.001376894
SLC8A3,0.001345934
CDH11,0.001341642
NRCAM,0.001339846
PCED1B,0.001329226
GABRA1,0.001328554
RAPGEF4,0.001322128
MLIP,0.001319516
ARHGAP20,0.001318349
VWC2,0.001317112
RGS7,0.001312402
OLFM1,0.001304571
SEPT7,0.001300298
MICAL2,0.001296315
NTRK2,0.001285094
ERC2,0.001281628
OTOGL,0.001278423
FSTL4,0.001276373
ATXN1,0.001268056
RNF24,0.00126787
LINC00473,0.00126723
CDC14B,0.001265223
GPR158,0.00126089
BACH2,0.001260475
ARPP21,0.001243886
DLG5,0.001242971
NF1,0.001236372
SMURF1,0.001218614
SNAP25,0.001214579
PIK3R1,0.001212737
FGF1,0.001205172
RBFOX2,0.001197169
CHML,0.0011962
WSB1,0.001191668
HTR2A,0.001187974
CDK14,0.001181741
BRINP1,0.001181504
NDST3,0.001166108
ASAP1,0.001158546
ACTR2,0.001148799
ICA1,0.001146047
RASA2,0.001140389
EPHA5,0.001137724
PID1,0.001135743
SVOP,0.001134682
PDE8B,0.001129583
NPTX2,0.001128728
BCL2,0.001128123
MGAT4C,0.001125577
ELAVL4,0.001124622
PDE4B,0.001120194
TARBP1,0.001119372
ATP2B2,0.001112815
PLCB1,0.001108681
DOK6,0.001107467
BCL11A,0.001106493
ADCY2,0.001096078
NLGN4Y,0.00109564
KIF5C,0.001094599
RGS4,0.001088666
EGR1,0.001086159
SORCS3,0.001083454
PPEF1,0.00107912
NREP,0.001065123
GOLGA8B,0.001061385
APBA2,0.001057978
CAP2,0.001057436
CDH10,0.00105661
NETO1,0.001056221
LMO4,0.00105466
DCC,0.001051666
PTCHD4,0.001050809
CELF2,0.001049628
AC109779.1,0.001046351
NUAK1,0.00104612
