"","x"
"1","IQGAP3"
"2","ANGPTL2"
"3","IL31RA"
"4","ACTG1P4"
"5","ADAMTS17"
"6","FAXDC2"
"7","TIMP3"
"8","ENSG00000259522"
"9","HRK"
"10","ATF3"
"11","ARID5A"
"12","ITGAX"
"13","HOXA5"
"14","PCDHA7"
"15","C1orf115"
"16","ENSG00000282907"
"17","FLNC"
"18","GDNF"
"19","TMEM272"
"20","LINC00565"
"21","H2AC6"
"22","COL15A1"
"23","H2BC19P"
"24","H2BC6"
"25","HPN"
"26","FAM13B"
"27","H2BC20P"
"28","ZNF534"
"29","SLC17A8"
"30","ANKRD20A19P"
"31","COL24A1"
"32","TLR9"
"33","ENSG00000289511"
"34","JUN"
"35","COL5A1"
"36","LIPH"
"37","GP6-AS1"
"38","ENSG00000280800"
"39","ENSG00000280614"
"40","ENSG00000281181"
"41","ARHGAP27"
"42","MORC2-AS1"
"43","CCDC144NL"
"44","TXNIP"
"45","ENSG00000226087"
"46","COL4A1"
"47","H4C14"
"48","LRGUK"
"49","ENSG00000287555"
"50","MAN2A1"
"51","N4BP2L1"
"52","UPF3B"
"53","CORO7-PAM16"
"54","TANC1"
"55","GAS2L3"
"56","BBC3"
"57","ENSG00000263020"
"58","AMH"
"59","H2AW"
"60","PCDHB1"
"61","CUBN"
"62","PROKR1"
"63","NR2F2"
"64","GPR35"
"65","PLCXD2"
"66","COQ8A"
"67","TACR1"
"68","LINC01341"
"69","CFAP61"
"70","H2BC5"
"71","IL34"
"72","IPO9-AS1"
"73","VIM"
"74","SNHG19"
"75","ENSG00000288041"
"76","ABCA1"
"77","STX17-DT"
"78","ENSG00000269918"
"79","HGFAC"
"80","GNAT3"
"81","MMP10"
"82","RNF152"
"83","BCL11A"
"84","RN7SK"
"85","BMP6"
"86","FAM185BP"
"87","BCL11B"
"88","SLC44A5"
"89","YPEL1"
"90","RPH3A"
"91","HOXB5"
"92","TXNL4B"
"93","ENSG00000279138"
"94","COL5A2"
"95","SOWAHA"
"96","WNT7B"
"97","ENSG00000258938"
"98","PBXIP1"
"99","PNPLA7"
"100","ENSG00000288187"
"101","DISP3"
"102","SLFNL1"
"103","FBXL19-AS1"
"104","SOX5"
"105","H3C6"
"106","G0S2"
"107","ENSG00000213777"
"108","RUNX1"
"109","ENSG00000288538"
"110","ENSG00000261168"
"111","PLGLB1"
"112","MCM7"
"113","ENSG00000277476"
"114","ENSG00000273151"
"115","ZCCHC18"
"116","LINC00648"
"117","ENSG00000232611"
"118","ENSG00000237863"
"119","MEIS2"
"120","TMOD1"
"121","PUS10"
"122","BCL6"
"123","EPB41L4A-AS1"
"124","PILRA"
"125","TLL1"
"126","ARRDC4"
"127","ENSG00000258311"
"128","ENSG00000255310"
"129","ENSG00000225339"
"130","PHLDB3"
"131","ENSG00000268218"
"132","GDF15"
"133","KRBOX4"
"134","ENSG00000226465"
"135","GAL3ST4"
"136","MT-RNR1"
"137","LY6G5C"
"138","FGFR4"
"139","ENSG00000254701"
"140","ZNF528"
"141","SLC12A1"
"142","ENSG00000261069"
"143","SHISA9"
"144","PTN"
"145","PDLIM3"
"146","LINC02381"
"147","DEPTOR"
"148","RAE1"
"149","UNC5B-AS1"
"150","KANK2"
"151","SLC2A3P1"
"152","ABHD4"
"153","MMP23B"
"154","SGMS1-AS1"
"155","EDA2R"
"156","CYP26B1"
"157","CCDC187"
"158","SULF1"
"159","ATP2A1"
"160","CYP2E1"
"161","ARNILA"
"162","IGSF22"
"163","ZBTB20"
"164","PRKD2"
"165","HPX"
"166","PIK3R3"
"167","ENSG00000279196"
"168","ENSG00000279608"
"169","SLC25A34"
"170","IL18BP"
"171","HDAC1"
"172","ENSG00000251615"
"173","FAM117B"
"174","SNHG1"
"175","CSPG4P5"
"176","TFAP2E"
"177","CEL"
"178","GPR156"
"179","ENSG00000261324"
"180","CFP"
"181","AGT"
"182","CELF2"
"183","TRPV1"
"184","BCL2L11"
"185","TMEM255A"
"186","RNF130"
"187","DND1"
"188","PDCD4"
"189","PELI1"
"190","KLF11"
"191","CDCA4"
"192","ENSG00000280255"
"193","PDIA2"
"194","ZNF674"
"195","THG1L"
"196","STXBP4"
"197","FOXD4"
"198","ZNF559"
"199","INHBE"
"200","PREX1"
"201","COL18A1"
"202","TRIM56"
"203","CMTM3"
"204","MAP7"
